Class,Image Path
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Alpinia Galanga (Rasna)\AG-S-001.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Alpinia Galanga (Rasna)\AG-S-002.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Alpinia Galanga (Rasna)\AG-S-003.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Alpinia Galanga (Rasna)\AG-S-004.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Alpinia Galanga (Rasna)\AG-S-005.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Alpinia Galanga (Rasna)\AG-S-006.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Alpinia Galanga (Rasna)\AG-S-007.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Alpinia Galanga (Rasna)\AG-S-008.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Alpinia Galanga (Rasna)\AG-S-009.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Alpinia Galanga (Rasna)\AG-S-010.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Alpinia Galanga (Rasna)\AG-S-011.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Alpinia Galanga (Rasna)\AG-S-012.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Alpinia Galanga (Rasna)\AG-S-013.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Alpinia Galanga (Rasna)\AG-S-014.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Alpinia Galanga (Rasna)\AG-S-015.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Alpinia Galanga (Rasna)\AG-S-016.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Alpinia Galanga (Rasna)\AG-S-017.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Alpinia Galanga (Rasna)\AG-S-018.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Alpinia Galanga (Rasna)\AG-S-019.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Alpinia Galanga (Rasna)\AG-S-020.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Alpinia Galanga (Rasna)\AG-S-021.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Alpinia Galanga (Rasna)\AG-S-022.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Alpinia Galanga (Rasna)\AG-S-023.jpg
